Course,University,District,Z_Score
MEDICINE,University of Colombo,COLOMBO,2.3517
MEDICINE,University of Colombo,GAMPAHA,2.4035
MEDICINE,University of Colombo,KALUTARA,2.3684
MEDICINE,University of Colombo,MATALE,2.7472
MEDICINE,University of Colombo,KANDY,2.5573
MEDICINE,University of Colombo,NUWARA ELIYA,2.4495
MEDICINE,University of Colombo,GALLE,2.3763
MEDICINE,University of Colombo,MATARA,2.3541
MEDICINE,University of Colombo,HAMBANTOTA,2.3528
MEDICINE,University of Colombo,JAFFNA,2.36
MEDICINE,University of Colombo,KILINOCHCHI,2.4083
MEDICINE,University of Colombo,VAVUNIYA,2.424
MEDICINE,University of Colombo,TRINCOMALEE,2.3765
MEDICINE,University of Colombo,BATTICALOA,2.3823
MEDICINE,University of Colombo,AMPARA,2.4008
MEDICINE,University of Colombo,PUTTALAM,2.4331
MEDICINE,University of Colombo,KURUNEGALA,2.3664
MEDICINE,University of Colombo,ANURADHAPURA,2.3916
MEDICINE,University of Colombo,POLONNARUWA,2.3838
MEDICINE,University of Colombo,BADULLA,2.3702
MEDICINE,University of Colombo,MONARAGALA,2.3627
MEDICINE,University of Colombo,KEGALLE,2.4686
MEDICINE,University of Colombo,RATNAPURA,2.3684
MEDICINE,University of Peradeniya,COLOMBO,2.1679
MEDICINE,University of Peradeniya,GAMPAHA,2.2114
MEDICINE,University of Peradeniya,KALUTARA,2.202
MEDICINE,University of Peradeniya,MATALE,2.2337
MEDICINE,University of Peradeniya,KANDY,2.1677
MEDICINE,University of Peradeniya,NUWARA ELIYA,2.2599
MEDICINE,University of Peradeniya,GALLE,2.1838
MEDICINE,University of Peradeniya,MATARA,2.1711
MEDICINE,University of Peradeniya,HAMBANTOTA,2.1721
MEDICINE,University of Peradeniya,JAFFNA,2.1763
MEDICINE,University of Peradeniya,KILINOCHCHI,2.212
MEDICINE,University of Peradeniya,VAVUNIYA,2.1704
MEDICINE,University of Peradeniya,BATTICALOA,2.1818
MEDICINE,University of Peradeniya,AMPARA,2.1724
MEDICINE,University of Peradeniya,PUTTALAM,2.1971
MEDICINE,University of Peradeniya,KURUNEGALA,2.1739
MEDICINE,University of Peradeniya,ANURADHAPURA,2.1711
MEDICINE,University of Peradeniya,BADULLA,2.1702
MEDICINE,University of Peradeniya,MONARAGALA,2.2093
MEDICINE,University of Peradeniya,KEGALLE,2.1976
MEDICINE,University of Peradeniya,RATNAPURA,2.1907
MEDICINE,University of Sri Jayewardenepura,COLOMBO,2.1207
MEDICINE,University of Sri Jayewardenepura,GAMPAHA,2.1252
MEDICINE,University of Sri Jayewardenepura,KALUTARA,2.1212
MEDICINE,University of Sri Jayewardenepura,KANDY,2.1276
MEDICINE,University of Sri Jayewardenepura,GALLE,2.1311
MEDICINE,University of Sri Jayewardenepura,MATARA,2.1209
MEDICINE,University of Sri Jayewardenepura,HAMBANTOTA,2.1361
MEDICINE,University of Sri Jayewardenepura,JAFFNA,2.1271
MEDICINE,University of Sri Jayewardenepura,KILINOCHCHI,2.1622
MEDICINE,University of Sri Jayewardenepura,VAVUNIYA,2.1323
MEDICINE,University of Sri Jayewardenepura,TRINCOMALEE,2.1392
MEDICINE,University of Sri Jayewardenepura,AMPARA,2.1247
MEDICINE,University of Sri Jayewardenepura,PUTTALAM,2.1336
MEDICINE,University of Sri Jayewardenepura,KURUNEGALA,2.1206
MEDICINE,University of Sri Jayewardenepura,ANURADHAPURA,2.1316
MEDICINE,University of Sri Jayewardenepura,POLONNARUWA,2.1368
MEDICINE,University of Sri Jayewardenepura,BADULLA,2.1237
MEDICINE,University of Sri Jayewardenepura,KEGALLE,2.1405
MEDICINE,University of Sri Jayewardenepura,RATNAPURA,2.1236
MEDICINE,University of Kelaniya,COLOMBO,2.0428
MEDICINE,University of Kelaniya,GAMPAHA,2.0445
MEDICINE,University of Kelaniya,KALUTARA,2.0467
MEDICINE,University of Kelaniya,MATALE,2.0418
MEDICINE,University of Kelaniya,KANDY,2.0483
MEDICINE,University of Kelaniya,NUWARA ELIYA,2.0845
MEDICINE,University of Kelaniya,GALLE,2.0613
MEDICINE,University of Kelaniya,MATARA,2.0722
MEDICINE,University of Kelaniya,HAMBANTOTA,2.0422
MEDICINE,University of Kelaniya,JAFFNA,2.0406
MEDICINE,University of Kelaniya,TRINCOMALEE,2.0601
MEDICINE,University of Kelaniya,BATTICALOA,2.0717
MEDICINE,University of Kelaniya,AMPARA,2.0475
MEDICINE,University of Kelaniya,PUTTALAM,2.048
MEDICINE,University of Kelaniya,KURUNEGALA,2.0443
MEDICINE,University of Kelaniya,ANURADHAPURA,2.0417
MEDICINE,University of Kelaniya,POLONNARUWA,2.0664
MEDICINE,University of Kelaniya,BADULLA,2.0538
MEDICINE,University of Kelaniya,MONARAGALA,2.0473
MEDICINE,University of Kelaniya,KEGALLE,2.0547
MEDICINE,University of Kelaniya,RATNAPURA,2.0406
MEDICINE,University of Jaffna,COLOMBO,1.8869
MEDICINE,University of Jaffna,GAMPAHA,1.714
MEDICINE,University of Jaffna,KALUTARA,1.8709
MEDICINE,University of Jaffna,MATALE,1.7284
MEDICINE,University of Jaffna,KANDY,1.8282
MEDICINE,University of Jaffna,NUWARA ELIYA,1.717
MEDICINE,University of Jaffna,GALLE,1.8401
MEDICINE,University of Jaffna,MATARA,1.8572
MEDICINE,University of Jaffna,JAFFNA,1.8586
MEDICINE,University of Jaffna,KILINOCHCHI,1.7451
MEDICINE,University of Jaffna,MANNAR,1.7074
MEDICINE,University of Jaffna,MULLAITIVU,1.7788
MEDICINE,University of Jaffna,VAVUNIYA,1.7107
MEDICINE,University of Jaffna,TRINCOMALEE,1.7719
MEDICINE,University of Jaffna,BATTICALOA,1.8126
MEDICINE,University of Jaffna,AMPARA,1.8552
MEDICINE,University of Jaffna,PUTTALAM,1.7079
MEDICINE,University of Jaffna,KURUNEGALA,1.8295
MEDICINE,University of Jaffna,ANURADHAPURA,1.7114
MEDICINE,University of Jaffna,POLONNARUWA,1.7588
MEDICINE,University of Jaffna,BADULLA,1.7435
MEDICINE,University of Jaffna,MONARAGALA,1.7114
MEDICINE,University of Jaffna,KEGALLE,1.8298
MEDICINE,University of Jaffna,RATNAPURA,1.8102
MEDICINE,University of Ruhuna,COLOMBO,1.9739
MEDICINE,University of Ruhuna,GAMPAHA,1.9826
MEDICINE,University of Ruhuna,KALUTARA,1.9765
MEDICINE,University of Ruhuna,MATALE,2.0065
MEDICINE,University of Ruhuna,KANDY,1.9735
MEDICINE,University of Ruhuna,NUWARA ELIYA,1.9828
MEDICINE,University of Ruhuna,GALLE,1.9731
MEDICINE,University of Ruhuna,MATARA,1.981
MEDICINE,University of Ruhuna,HAMBANTOTA,1.9723
MEDICINE,University of Ruhuna,MULLAITIVU,2.0336
MEDICINE,University of Ruhuna,BATTICALOA,1.9984
MEDICINE,University of Ruhuna,AMPARA,1.9871
MEDICINE,University of Ruhuna,PUTTALAM,1.9981
MEDICINE,University of Ruhuna,KURUNEGALA,1.9761
MEDICINE,University of Ruhuna,ANURADHAPURA,1.984
MEDICINE,University of Ruhuna,POLONNARUWA,2.0015
MEDICINE,University of Ruhuna,BADULLA,1.99
MEDICINE,University of Ruhuna,MONARAGALA,1.9904
MEDICINE,University of Ruhuna,KEGALLE,1.9739
MEDICINE,University of Ruhuna,RATNAPURA,1.9796
MEDICINE,University of Moratuwa,COLOMBO,1.9185
MEDICINE,University of Moratuwa,GAMPAHA,1.9296
MEDICINE,University of Moratuwa,KALUTARA,1.9184
MEDICINE,University of Moratuwa,KANDY,1.9209
MEDICINE,University of Moratuwa,NUWARA ELIYA,1.9703
MEDICINE,University of Moratuwa,GALLE,1.9167
MEDICINE,University of Moratuwa,MATARA,1.9168
MEDICINE,University of Moratuwa,HAMBANTOTA,1.9306
MEDICINE,University of Moratuwa,TRINCOMALEE,1.9246
MEDICINE,University of Moratuwa,AMPARA,1.9159
MEDICINE,University of Moratuwa,PUTTALAM,1.9373
MEDICINE,University of Moratuwa,KURUNEGALA,1.9395
MEDICINE,University of Moratuwa,ANURADHAPURA,1.9326
MEDICINE,University of Moratuwa,POLONNARUWA,1.9504
MEDICINE,University of Moratuwa,MONARAGALA,1.9518
MEDICINE,University of Moratuwa,KEGALLE,1.9234
MEDICINE,University of Moratuwa,RATNAPURA,1.9182
MEDICINE,"Eastern University, Sri Lanka",COLOMBO,1.9521
MEDICINE,"Eastern University, Sri Lanka",KANDY,1.8334
MEDICINE,"Eastern University, Sri Lanka",NUWARA ELIYA,1.5393
MEDICINE,"Eastern University, Sri Lanka",MANNAR,1.6131
MEDICINE,"Eastern University, Sri Lanka",VAVUNIYA,1.5661
MEDICINE,"Eastern University, Sri Lanka",TRINCOMALEE,1.6629
MEDICINE,"Eastern University, Sri Lanka",BATTICALOA,1.7625
MEDICINE,"Eastern University, Sri Lanka",AMPARA,1.807
MEDICINE,"Eastern University, Sri Lanka",PUTTALAM,1.6559
MEDICINE,"Eastern University, Sri Lanka",ANURADHAPURA,1.6606
MEDICINE,"Eastern University, Sri Lanka",POLONNARUWA,1.5814
MEDICINE,"Eastern University, Sri Lanka",MONARAGALA,1.6362
MEDICINE,Rajarata University of Sri Lanka,COLOMBO,1.8923
MEDICINE,Rajarata University of Sri Lanka,GAMPAHA,1.8819
MEDICINE,Rajarata University of Sri Lanka,KALUTARA,1.891
MEDICINE,Rajarata University of Sri Lanka,MATALE,1.8807
MEDICINE,Rajarata University of Sri Lanka,KANDY,1.8844
MEDICINE,Rajarata University of Sri Lanka,NUWARA ELIYA,1.8987
MEDICINE,Rajarata University of Sri Lanka,GALLE,1.8821
MEDICINE,Rajarata University of Sri Lanka,MATARA,1.8937
MEDICINE,Rajarata University of Sri Lanka,HAMBANTOTA,1.9324
MEDICINE,Rajarata University of Sri Lanka,MANNAR,1.9274
MEDICINE,Rajarata University of Sri Lanka,VAVUNIYA,2.0263
MEDICINE,Rajarata University of Sri Lanka,TRINCOMALEE,1.8836
MEDICINE,Rajarata University of Sri Lanka,BATTICALOA,1.8925
MEDICINE,Rajarata University of Sri Lanka,AMPARA,1.8837
MEDICINE,Rajarata University of Sri Lanka,PUTTALAM,1.8784
MEDICINE,Rajarata University of Sri Lanka,KURUNEGALA,1.8789
MEDICINE,Rajarata University of Sri Lanka,ANURADHAPURA,1.8784
MEDICINE,Rajarata University of Sri Lanka,POLONNARUWA,1.885
MEDICINE,Rajarata University of Sri Lanka,BADULLA,1.8807
MEDICINE,Rajarata University of Sri Lanka,MONARAGALA,1.9014
MEDICINE,Rajarata University of Sri Lanka,KEGALLE,1.8802
MEDICINE,Rajarata University of Sri Lanka,RATNAPURA,1.8772
MEDICINE,Sabaragamuwa University of Sri Lanka,COLOMBO,1.8839
MEDICINE,Sabaragamuwa University of Sri Lanka,GAMPAHA,1.7239
MEDICINE,Sabaragamuwa University of Sri Lanka,KALUTARA,1.8613
MEDICINE,Sabaragamuwa University of Sri Lanka,MATALE,1.7269
MEDICINE,Sabaragamuwa University of Sri Lanka,KANDY,1.8268
MEDICINE,Sabaragamuwa University of Sri Lanka,GALLE,1.8344
MEDICINE,Sabaragamuwa University of Sri Lanka,MATARA,1.8598
MEDICINE,Sabaragamuwa University of Sri Lanka,HAMBANTOTA,1.7785
MEDICINE,Sabaragamuwa University of Sri Lanka,BATTICALOA,1.7647
MEDICINE,Sabaragamuwa University of Sri Lanka,AMPARA,1.8268
MEDICINE,Sabaragamuwa University of Sri Lanka,PUTTALAM,1.7561
MEDICINE,Sabaragamuwa University of Sri Lanka,KURUNEGALA,1.8354
MEDICINE,Sabaragamuwa University of Sri Lanka,POLONNARUWA,1.7753
